label,dim1,dim2
wc0,-26.691736,18.483524
wc0,-26.714743,28.825161
wc0,-30.55016,30.958906
wc0,-29.182878,34.831425
wc0,-19.034744,28.888412
wc0,-29.707378,20.599457
wc0,-19.734825,14.38702
wc0,-35.73459,17.46132
wc0,-26.647997,35.46009
wc0,-37.544815,21.199667
wc0,-29.474522,15.656336
wc0,-31.272238,19.880001
wc0,-23.022766,33.524662
wc0,-29.432037,20.80553
wc0,-32.172165,25.265774
wc0,-28.593704,15.735984
wc0,-31.275772,23.911802
wc0,-22.424608,16.567049
wc0,-28.268726,23.013737
wc0,-30.527113,27.226269
wc0,-20.866022,21.053667
wc0,-16.8009,29.026325
wc0,-37.17864,17.262955
wc0,-27.816917,31.473627
wc0,-17.246647,20.67913
wc0,-20.284637,12.982383
wc0,-28.499454,21.871023
wc0,-28.001781,25.066021
wc0,-35.241024,18.440247
wc0,-16.029514,25.77157
wc0,-33.383797,12.052989
wc0,-31.285864,13.550406
wc0,-14.135655,20.380226
wc0,-16.53286,19.932087
wc0,-28.021646,21.605331
wc0,-26.487463,28.569773
wc0,-28.664392,25.541653
wc0,-21.41972,31.817698
wc0,-27.689793,26.147394
wc0,-19.255709,27.783375
wc0,-27.951113,30.862507
wc0,-31.691393,25.397318
wc0,-27.030169,24.558323
wc0,-21.055487,27.682655
wc0,-25.422049,30.774103
wc0,-21.6412,24.861923
wc0,-17.441275,34.17862
wc0,-22.657665,28.843288
wc0,-15.483326,23.023098
wc0,-38.190857,19.336535
wc0,-18.010355,12.977905
wc0,-17.624168,18.917627
wc0,-39.20131,22.66323
wc0,-32.18309,17.70866
wc0,-28.475645,21.93
wc0,-12.157015,9.479948
wc0,-33.738758,16.92275
wc0,-29.231182,29.987064
wc0,-26.936218,12.623021
wc0,-31.798122,17.065248
wc0,-24.310228,18.6249
wc0,-34.43137,14.64226
wc0,-24.043,18.337383
wc0,-21.618704,15.695398
wc0,-24.32049,25.277721
wc0,-27.833212,23.403164
wc0,-22.67673,27.240004
wc0,-27.44073,15.672781
wc0,-23.452599,36.361004
wc0,-31.652668,29.889456
wc0,-22.522966,36.589256
wc0,-25.626871,37.60097
wc0,-33.28556,31.599857
wc0,-24.2788,38.06024
wc0,-25.8835,35.448822
wc0,-27.941616,30.751354
wc0,-36.542362,23.452515
wc0,-16.940645,4.3292384
wc0,-20.334236,28.452997
wc0,-14.181929,34.27656
wc0,-31.125727,18.99504
wc0,-19.271425,23.867783
wc0,-14.373049,19.133757
wc0,-29.450369,15.103508
wc0,-31.821999,16.671965
wc0,-39.342056,22.525032
wc0,-23.036966,19.494312
wc0,-25.215294,22.200174
wc0,-14.082792,15.0032215
wc0,-27.867002,26.460964
wc0,-22.859991,18.361069
wc0,-17.310423,24.40246
wc0,-38.289867,25.367878
wc0,-28.532944,22.894821
wc0,-25.321678,24.607317
wc0,-26.586426,18.150204
wc0,-21.730799,24.95633
wc0,-23.49399,35.535866
wc0,-21.888094,31.959267
wc0,-23.970678,32.02338
wc0,-15.724858,28.289762
wc0,-24.477316,37.854042
wc0,-16.386545,31.411512
wc0,-20.478043,30.627827
wc0,-34.301556,16.615152
wc0,-32.6627,13.653059
wc0,-34.019234,25.470793
wc0,-35.76185,22.993952
wc0,-30.715479,28.054014
wc0,-31.474169,18.252205
wc0,-23.348076,30.294039
wc0,-33.651558,27.186146
wc0,-14.091175,34.233475
wc0,-15.4046755,21.922823
wc0,-12.15775,20.168058
wc0,-11.967912,17.939362
wc0,-32.179245,24.449173
wc0,-22.65367,14.5021515
wc0,-20.211466,23.33681
wc0,-16.993141,25.152609
wc0,-22.921762,14.228646
wc0,-19.565758,33.767464
wc0,-35.779835,22.734777
wc0,-21.361591,27.259214
wc0,-19.517134,17.413013
wc0,-17.971407,13.416098
wc0,-38.21711,28.01552
wc0,-18.074331,19.402676
wc0,-25.678984,23.80096
wc0,-36.7997,29.048618
wc0,-21.878546,36.706635
wc0,-37.153603,19.694252
wc0,-27.945929,29.031355
wc0,-24.58155,15.95327
wc0,-28.740503,28.233858
wc0,-26.41648,14.759135
wc0,-34.05365,25.82428
wc0,-29.835836,21.48399
wc0,-20.360376,35.54688
wc0,-26.8586,22.371353
wc0,-11.881671,20.667604
wc0,-29.256392,22.16885
wc0,-17.067286,23.414923
wc0,-20.640106,20.053555
wc0,-26.609106,20.984907
wc0,-21.459803,17.558952
wc0,-19.97369,31.048473
wc0,-30.407803,22.37673
wc0,-27.415262,16.628748
wc0,-31.593899,21.36116
wc0,-21.380049,19.854053
wc0,-33.581017,16.445023
wc0,-24.79643,18.587824
wc0,-29.279121,24.567232
wc0,-11.070677,22.49837
wc0,-22.785528,22.403152
wc0,-21.116924,34.77708
wc0,-19.073992,29.38146
wc0,-19.722456,27.711256
wc0,-25.374052,16.807604
wc0,-24.011425,15.694209
wc0,-29.934977,16.125488
wc0,-15.431968,31.56088
wc0,-21.6334,29.254583
wc0,-21.59872,10.913094
wc0,-32.901848,27.96234
wc0,-26.850054,21.56184
wc0,-31.282955,35.534077
wc0,-29.622955,25.29181
wc0,-16.743084,33.078873
wc0,-27.60426,35.31467
wc0,-20.265135,15.156232
wc0,-28.512444,25.514938
wc0,-31.320753,15.395046
wc0,-32.550945,17.399548
wc0,-36.321644,15.701182
wc0,-19.577065,18.383873
wc0,-20.468027,27.283478
wc0,-21.150253,31.724348
wc0,-23.079298,30.84713
wc0,-21.111507,29.025763
wc0,-34.76582,29.494015
wc0,-38.28754,25.468792
wc0,-30.163916,19.647594
wc0,-33.03148,28.822138
wc0,-30.149782,32.954235
wc0,-32.81346,21.24285
wc0,-19.92372,17.608768
wc0,-19.957035,25.959778
