label,dim1,dim2
wc0,-24.088835,-0.4218323
wc0,-15.699131,-3.7214577
wc0,-21.054462,1.9053762
wc0,-13.650379,-1.5184965
wc0,-16.900686,-5.455811
wc0,-13.007816,-5.39319
wc0,-7.9552064,-7.762983
wc0,-8.374945,-3.0192418
wc0,1.8197527,13.921093
wc0,-12.449552,11.563982
wc0,-23.097452,4.1558356
wc0,-21.07403,-12.794345
wc0,-10.581539,-8.718945
wc0,-23.108368,-13.068966
wc0,-12.789783,-9.28967
wc0,-21.729347,-9.421882
wc0,-24.059702,0.6840984
wc0,-8.358061,-0.5584829
wc0,-19.121061,10.866448
wc0,-21.118578,-2.0226507
wc0,-20.681301,-4.8444343
wc0,-10.89902,-2.4093468
wc0,-13.306921,-2.031793
wc0,-10.916013,-13.235504
wc0,-23.517622,-5.906469
wc0,-15.35437,-8.162101
wc0,-16.251854,0.5586244
wc0,-10.905873,2.2862942
wc0,-12.349404,-1.4346492
wc0,-17.195229,-9.663766
wc0,-20.725647,-6.729981
wc0,-2.1614406,-7.138729
wc0,-12.92795,-0.59681135
wc0,-2.805227,-3.40615
wc0,-18.427944,-1.8719357
wc0,-13.478267,-5.227959
wc0,-19.344294,-15.26561
wc0,-20.187185,0.28486162
wc0,-10.500372,1.1408659
wc0,-10.610844,-13.176088
wc0,-16.230015,-7.397217
wc0,-23.625183,-2.4972308
wc0,-14.072615,1.6123207
wc0,-24.669966,5.4011197
wc0,-25.612085,-0.29528207
wc0,-26.253859,-3.4594283
wc0,-22.482794,-5.92397
wc0,-14.263825,5.2741737
wc0,-15.854751,-8.255207
wc0,-2.327451,-12.9316025
wc0,-16.710178,-5.4080544
wc0,-9.516786,-6.4811697
wc0,-22.187199,-8.168802
wc0,-17.820963,-0.94670475
wc0,-23.628296,-10.477753
wc0,-3.8317,-10.238694
wc0,-11.065746,6.3552127
wc0,-9.196408,-2.6113489
wc0,-11.667533,1.5893829
wc0,-10.423621,-9.103752
wc0,-15.841088,-9.126155
wc0,-8.042001,0.98354006
wc0,-11.039359,-7.7170835
wc0,-18.865095,-9.55376
wc0,-14.883264,-15.546178
wc0,-16.551216,-11.818884
wc0,-20.349945,5.035287
wc0,-20.113045,5.039638
wc0,-12.509287,-1.474354
wc0,-10.609586,1.9574147
wc0,-6.055717,-5.453836
wc0,-14.777847,-0.27293304
wc0,-9.631713,-9.760771
wc0,-22.605726,-0.49761635
wc0,-17.137934,3.198335
wc0,-22.549171,0.20065674
wc0,-4.857938,-2.553421
wc0,-9.157818,-12.345813
wc0,-24.930176,-6.9914875
wc0,-14.791522,-8.357618
wc0,-27.371197,3.911339
wc0,-26.96165,-1.346377
wc0,-24.812582,3.3858528
wc0,-23.754192,-3.091503
wc0,-18.334436,2.2583776
wc0,-24.506575,5.3983526
wc0,-6.2185683,-3.7477217
wc0,-20.122458,-4.4743533
wc0,-6.4785523,-3.678594
wc0,-18.530071,1.4561821
wc0,-18.46668,-1.9611105
wc0,-19.18406,11.423758
wc0,-24.447868,-0.27926144
wc0,-13.041214,-6.000439
wc0,-20.179266,-4.570447
wc0,-14.298166,10.314858
wc0,-16.6642,-10.093217
wc0,-21.468613,-5.2496104
wc0,-27.396496,-3.92556
wc0,-5.429872,2.9054608
wc0,-20.309643,-4.6764536
wc0,-19.521166,2.9232244
wc0,-17.13512,-4.297387
wc0,-27.197826,-7.94426
wc0,-25.31311,6.673947
wc0,-13.239099,-13.126941
wc0,-20.329065,-8.133474
wc0,-9.571154,6.799615
wc0,-22.694942,0.05170913
wc0,-21.495914,-0.9662302
wc0,-6.7609434,9.016181
wc0,-21.096764,5.759792
wc0,-15.03354,-1.6240067
wc0,-30.728603,-4.0336967
wc0,-14.231528,-9.069064
wc0,-17.121597,6.385452
wc0,-13.124672,2.0872054
wc0,-14.666845,-11.996582
wc0,-9.279746,-9.231952
wc0,-9.959455,-8.649352
wc0,-9.003614,0.54136395
wc0,-10.396128,-13.156906
wc0,-13.833114,-0.41968384
wc0,-14.597248,-7.462419
wc0,-17.790537,-1.0888873
wc0,-15.578214,-0.7112789
wc0,-16.478378,-3.0175545
wc0,-15.705954,-4.575585
wc0,-14.447513,-6.31476
wc0,-29.19069,6.9248047
wc0,-24.372303,-0.15488154
wc0,-20.052393,-6.3795896
wc0,-20.736666,-10.121446
wc0,-13.295297,3.020359
wc0,-11.792771,3.9231057
wc0,-9.098683,-5.183482
wc0,-13.7908535,3.9027085
wc0,-14.318107,12.332548
wc0,-18.940014,-10.005241
wc0,-11.295185,-5.5162854
wc0,-12.073936,-13.365906
wc0,-25.912962,-12.762227
wc0,-8.220255,-3.0213404
wc0,-28.861574,-6.270121
wc0,-26.499178,8.0709305
wc0,-9.769469,1.26863
wc0,-17.926273,-14.54317
wc0,-18.120762,-2.966613
wc0,-19.825949,-0.924457
wc0,-13.467352,-11.797155
wc0,-18.718122,-13.331662
wc0,-14.540755,-5.881421
wc0,-22.38666,-1.7870976
wc0,-23.625963,-16.43137
wc0,-22.39394,10.290538
wc0,-24.58366,-3.4599822
wc0,-15.322962,-10.852835
wc0,4.6955385,7.3139186
wc0,-13.154001,-14.486465
wc0,-15.514164,-3.7929602
wc0,-24.07946,-9.283828
wc0,-11.420026,-6.3755107
wc0,-15.277047,1.3581394
wc0,-23.834587,7.5648766
wc0,-11.857183,1.8275702
wc0,-10.664176,0.24537222
wc0,-20.094126,-16.580933
wc0,-22.511215,-1.2184169
wc0,-12.772244,-5.127723
wc0,-12.434541,-8.7215805
wc0,-16.289772,-8.404819
wc0,-6.0255947,-16.706635
wc0,-14.0445595,-6.801739
wc0,-14.827726,-2.799628
wc0,-12.388571,5.4981346
wc0,-9.64714,-20.044004
wc0,-22.594276,1.0741218
wc0,-22.201668,-3.0872476
wc0,-19.471888,-18.367872
wc0,-22.424662,0.15637955
wc0,-10.263171,-8.575851
wc0,-15.957899,2.4778178
wc0,-19.40998,-18.314514
wc0,-8.43749,-14.7860775
wc0,-12.082753,-3.0287285
wc0,-20.178865,-2.8950853
wc0,-11.604489,-11.644036
wc0,-19.473448,-3.333371
wc0,-11.178506,-5.2791815
wc0,-16.964602,-2.9259965
wc0,-9.452644,-13.354693
wc0,-6.2248254,14.775453
wc0,-4.255733,-4.5594206
wc0,-10.394841,-0.014429988
wc0,-7.8315735,-7.199609
wc0,6.591417,-3.587545
wc0,-8.615375,-8.104534
wc0,-24.430063,-5.8212657
wc0,-19.15259,-10.38568
wc0,-21.796972,-2.7692525
wc0,-4.828695,-2.4750657
wc0,-23.270475,-1.4119438
wc0,-14.858497,-16.51109
wc0,-14.805204,-13.421261
wc0,-23.721348,-6.423174
wc0,-7.587148,-3.9913535
wc0,-15.105423,2.6345172
wc0,9.804902,-6.8532825
wc0,-18.259653,-11.311147
wc0,-26.389488,-2.053182
wc0,-17.39067,-14.54496
wc0,-13.018393,2.6712286
wc0,-19.397837,-7.958013
wc0,-11.441771,-9.025222
wc0,-20.577475,-4.5865345
wc0,-13.520253,2.0476964
wc0,-9.918541,-3.8620982
wc0,-21.410738,1.2440543
wc0,-23.283026,-3.4296947
wc0,-8.997205,-13.818171
wc0,-7.1823606,-6.881452
wc0,-8.053347,-8.635964
wc0,0.05496214,-0.6141108
wc0,-21.207085,-5.1051984
wc0,-13.187127,-5.866526
